ARTICLES 			NETTOYAGE	REPASSAGE
CHEMISE				15 DH		8 DH
PULL-OVER			17 DH		8 DH
PANTALON			17 DH		8 DH
T-SHIRT				12 DH		5 DH
GILET				10 DH		5 DH
MANTEAU				45 DH		10 DH
JAQUETTE / TAILLEUR 2 PIECES	35 DH		10 DH
COMPLET / TAILLEUR 2 PIECES	35 DH		15 DH
VESTE HOMME ET DAMES		20 DH		10 DH
CRAVATE				10 DH		5 DH
JABADOUR			34 DH		16 DH
DJELLABA SIMPLE			25 DH		10 DH
DJELLABA M'LIFA / ORNE		30 DH		10 DH
CAFTAN / KMISS / DINA 1 PIECE	25 DH		10 DH
CAFTAN ORNE			30 DH		10 DH
SELHAM				30 DH		10 DH
GANDOURA			25 DH		10 DH
TAKCHITA TISSU SIMPLE		45 DH		20 DH
TAKCHITA EN SOIE / OPALE	60 / 90 DH	20 DH
ROBE SIMPLE			25 DH		10 DH
ROBE SOIREE			50 DH		20 DH
ROBE MARIAGE			200 DH		75 DH
JUPE SIMPLE			17 DH		8 DH
JUPE LONG OU PLISSE		22 DH		10 DH
FOULARD / CHALE			10 DH		5 DH
CHAPEAU / CASQUETTE		10 DH		5 DH
SHORT				12 DH		6 DH
OREILLER SIMPLE			10 DH		5 DH
OREILLER REMBOURREE		20 DH		10 DH
COUETTE				80 DH		30 DH
COUVRE MATELAS			30 DH / M²	10 DH
NAPPE				30 DH		20 DH
CUIR / DAIN			250 DH		50 DH
COUVERTURE 1 PIECE		30 DH		0 DH
COUVERTURE 2 PIECE		50 DH		0 DH
COUVRE LIT			20 / 50 DH	10 DH
SERVIETTE GRANDE		20 DH		5 DH
SERVIETTE PETITE		10 DH		5 DH
RIDEAU				20 DH / M²	20 DH
TAPIS MAROCAIN			50 DH / M²	0 DH
TAPIS SYNTHETIQUE		45 DH / M²	0 DH
